,std_smiles,canonical_smiles,max_phase,oral,parenteral,prodrug,max_phase_num
2712,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,3,0,0,0,3
2713,Cc1ccc(C(=O)Oc2ccc(C(CN(C)C)C3(O)CCCCC3)cc2)cc1,Cc1ccc(C(=O)Oc2ccc(C(CN(C)C)C3(O)CCCCC3)cc2)cc1,3,0,0,0,3
2714,Cc1ccc(C23CNCC2C3)cc1,Cc1ccc(C23CNCC2C3)cc1,3,0,0,0,3
2715,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,3,0,0,0,3
2716,Cc1ccc(F)cc1C(=O)Nc1ccc(C(=O)N2Cc3cccn3Cc3ccccc32)c(Cl)c1,Cc1ccc(F)cc1C(=O)Nc1ccc(C(=O)N2Cc3cccn3Cc3ccccc32)c(Cl)c1,3,0,0,0,3
2717,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,3,0,0,0,3
2718,Cc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1-c1cc(OCCO)nc(N2CCOCC2)c1,Cc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1-c1cc(OCCO)nc(N2CCOCC2)c1,3,0,0,0,3
2719,Cc1ccc(O)c(-n2nc3ccccc3n2)c1,Cc1ccc(O)c(-n2nc3ccccc3n2)c1,3,0,0,0,3
2720,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1,3,0,0,0,3
2721,Cc1ccc(S(N)(=O)=O)cc1,Cc1ccc(S(N)(=O)=O)cc1,3,0,0,0,3
2722,Cc1ccc2[nH]c(N)nc(=O)c2c1Sc1ccncc1,Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1,3,0,0,0,3
2723,Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1C,Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1C,3,0,0,0,3
2724,Cc1ccc2c(NC[C@](O)(CC(C)(C)c3cc(F)cc4c3OCC4)C(F)(F)F)cccc2n1,Cc1ccc2c(NC[C@](O)(CC(C)(C)c3cc(F)cc4c3OCC4)C(F)(F)F)cccc2n1,3,0,0,0,3
2725,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,3,0,0,0,3
2726,Cc1ccc2c(c1CCC(=O)O)CC[C@@H](NS(=O)(=O)c1ccc(Cl)cc1)C2,Cc1ccc2c(c1CCC(=O)O)CC[C@@H](NS(=O)(=O)c1ccc(Cl)cc1)C2,3,0,0,0,3
2727,Cc1ccc2cc(C(=O)NC3(C(=O)NC(Cc4ccccc4)C(=O)NCC4CCN(CC5CCOCC5)CC4)CCCC3)sc2c1,Cc1ccc2cc(C(=O)NC3(C(=O)N[C@H](Cc4ccccc4)C(=O)NCC4CCN(CC5CCOCC5)CC4)CCCC3)sc2c1,3,0,0,0,3
2728,Cc1ccc2nc(N3CCS(=O)(=O)c4ccccc4C3)nc(NCC3(N)COC3)c2c1,Cc1ccc2nc(N3CCS(=O)(=O)c4ccccc4C3)nc(NCC3(N)COC3)c2c1,3,0,0,0,3
2729,Cc1cccc(C(C)c2c[nH]cn2)c1C,Cc1cccc(C(C)c2c[nH]cn2)c1C,3,0,0,0,3
2730,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,3,0,0,0,3
2731,Cc1cccc(N2CCN(CCc3ccc4ccccc4n3)CC2)c1,Cc1cccc(N2CCN(CCc3ccc4ccccc4n3)CC2)c1,3,0,0,0,3
2732,Cc1ccccc1CN1C(=O)C2=C(CCN(Cc3ccccc3)C2)N2CCN=C12,Cc1ccccc1CN1C(=O)C2=C(CCN(Cc3ccccc3)C2)N2CCN=C12,3,0,0,0,3
2733,Cc1ccn(-c2cc(Cl)ccc2[C@@H](Oc2cc(-c3ccc(CC(N)C(=O)O)cc3)nc(N)n2)C(F)(F)F)n1,Cc1ccn(-c2cc(Cl)ccc2[C@@H](Oc2cc(-c3ccc(C[C@H](N)C(=O)O)cc3)nc(N)n2)C(F)(F)F)n1,3,0,0,0,3
2734,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cnccn5)n4)c3)cc(C(F)(F)F)c2)cn1,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cnccn5)n4)c3)cc(C(F)(F)F)c2)cn1,3,0,0,0,3
2735,Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@H]2F)c(=O)[nH]c1=O,Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@H]2F)c(=O)[nH]c1=O,3,0,0,1,3
2736,Cc1cnc(C(=O)O)c[n+]1[O-],Cc1cnc(C(=O)O)c[n+]1[O-],3,0,0,0,3
2737,Cc1n[nH]c(C)c1-c1cnn(C2(CC#N)CN(c3cc(F)c(C(=O)N[C@@H](C)C(F)(F)F)cc3F)C2)c1,Cc1n[nH]c(C)c1-c1cnn(C2(CC#N)CN(c3cc(F)c(C(=O)N[C@@H](C)C(F)(F)F)cc3F)C2)c1,3,0,0,0,3
2738,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,3,0,0,0,3
2739,Cc1nc(-c2cnc(NC(C)C)n(C)c2=O)ccc1Oc1ccnc(-c2cnn(C)c2)c1,Cc1nc(-c2cnc(NC(C)C)n(C)c2=O)ccc1Oc1ccnc(-c2cnn(C)c2)c1,3,0,0,0,3
2740,Cc1nc(N(C)C(=O)Cc2ccc(-c3ccccn3)cc2)sc1S(N)(=O)=O,Cc1nc(N(C)C(=O)Cc2ccc(-c3ccccn3)cc2)sc1S(N)(=O)=O,3,0,0,0,3
2741,Cc1nc(NC(=O)N2CCC(C)(C)C2=O)ccc1Oc1ccnc(-c2cnn(C)c2)c1,Cc1nc(NC(=O)N2CCC(C)(C)C2=O)ccc1Oc1ccnc(-c2cnn(C)c2)c1,3,0,0,0,3
2742,Cc1nc2c(O[C@H]3CCOc4cc(F)cc(F)c43)cc(C(=O)N(C)C)cc2[nH]1,Cc1nc2cc(C(=O)N(C)C)cc(O[C@H]3CCOc4cc(F)cc(F)c43)c2[nH]1,3,0,0,0,3
2743,Cc1ncc(CO)c(C=O)c1O,Cc1ncc(CO)c(C=O)c1O,3,0,0,0,3
2744,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,3,0,0,0,3
